x	y	z	Signaling by NODAL
229	285	31	1
238	285.5	31.5	1
240	285	31	1
247	285	31	2
248	285	31	1
178	286	31	1
204	286	31	1
218	286	31	1
222	286	31	1
240	286	31	1
244	286	31	1
249	286	31	1
252	286	31	1
234	287	31	2
236	287	31	1
243	287	31	1
246	287	31	1
250	287	31	1
251	287	31	1
256	287	31	1
186	288	31	1
225	288	31	1
231	288	31	1
233	288	31	1
234	288	31	1
236	288	31	1
240.5	288.5	31.5	1
242	288	31	2
244	288	31	1
249	288	31	1
251	288	31	1
185	289	31	2
200	289	31	1
225	289	31	1
234	289	31	1
238	289	31	1
240	289	31	2
242	289	31	1
243	289	31	1
250	289	31	1
254	289	31	1
200	290	31	1
221	290	31	1
222	290	31	1
230	290	31	1
232	290	31	1
239	290	31	1
243	290	31	2
247	290	31	2
250	290	31	1
198	291	31	1
204	291	31	1
223	291	31	1
227	291	31	1
230	291	31	1
245	291	31	1
247	291	31	1
248	291	31	1
198	292	31	1
226	292	31	1
232	292	31	1
235	292	31	1
242	292	31	1
247	292	31	1
198	293	31	1
222	293	31	2
228	293	31	2
229	293	31	2
235	293	31	1
236	293	31	2
239	293	31	1
198	294	31	1
202	294	31	1
220	294	31	2
222	294	31	1
226	294	31	2
233	294	31	1
235	294	31	1
241	294	31	1
242	294	31	1
244	294	31	2
245	294	31	1
251	294	31	1
253	294	31	1
220	295	31	1
221	295	31	1
225	295	31	2
229	295	31	1
232	295	31	1
233	295	31	1
235	295	31	1
241	295	31	1
243	295	31	1
252	295	31	2
255	295	31	1
199	296	31	1
225	296	31	2
234	296	31	1
242	296	31	2
245	296	31	2
247	296	31	2
248	296	31	1
250	296	31	1
254	296	31	3
227	297	31	1
234	297	31	1
236	297	31	1
239	297	31	1
242	297	31	1
248	297	31	1
235	298	31	1
237	298	31	1
238	298	31	1
239	298	31	1
245	298	31	1
252	298	31	1
221	299	31	1
229	299	31	1
237	299	31	1
240	299	31	2
245	299	31	1
246	299	31	1
247	299	31	1
223	300	31	3
224	300	31	1
225	300	31	1
226	300	31	3
229	300	31	1
237	300	31	1
247	300	31	1
224	301	31	1
225	301	31	1
246	301	31	1
226	302	31	1
232	302	31	1
235	302	31	1
223	303	31	1
239	303	31	2
246	303	31	1
232	304	31	1
237	304	31	1
223	305	31	1
225	305	31	2
235	305	31	1
236	305	31	1
237	305	31	1
233	306	31	1
236	306	31	1
223	307	31	2
223	308	31	1
225	308	31	1
226	250	32	1
227	251	32	1
229	251	32	1
227	252	32	1
193	253	32	1
214	253	32	1
216	253	32	1
223	253	32	1
231	253	32	1
240	253	32	2
215	254	32	1
216	254	32	1
225	254	32	2
230	254	32	1
216	255	32	1
219	255	32	1
223	255	32	1
224	255	32	1
226	255	32	1
234	255	32	1
235	255	32	1
236	255	32	2
238	255	32	1
177	256	32	1
215	256	32	2
219	256	32	1
227	256	32	3
232	256	32	1
203	257	32	1
219	257	32	1
